INFO:root:Feature_selection = None
INFO:root:Algorithm = Logreg
INFO:root:Runtime = Hyperperameter optimization in Logistic regression with C in np.linspace(0.01,5,100) and other default parameters. Features used as they are.
 Validation set has 400 points. Max_iters decreased to 50.
INFO:root:C = 0.01 	 Train F1 = 0.9126281844027047 	 Validation F1 = 0.8291646303078573
INFO:root:C = 0.9676767676767678 	 Train F1 = 0.9825857834745995 	 Validation F1 = 0.9022257049949758
INFO:root:C = 1.0180808080808081 	 Train F1 = 0.9841132916171437 	 Validation F1 = 0.9022257049949758
INFO:root:C = 1.0684848484848486 	 Train F1 = 0.9856849775562141 	 Validation F1 = 0.9022257049949758
INFO:root:C = 1.118888888888889 	 Train F1 = 0.9861942492803011 	 Validation F1 = 0.9022257049949758
INFO:root:C = 1.1692929292929295 	 Train F1 = 0.9867040143830677 	 Validation F1 = 0.9022257049949758
INFO:root:C = 1.21969696969697 	 Train F1 = 0.9877234738802555 	 Validation F1 = 0.9022257049949758
INFO:root:C = 1.2701010101010102 	 Train F1 = 0.9877234738802555 	 Validation F1 = 0.9046981724625526
INFO:root:C = 1.3205050505050506 	 Train F1 = 0.9877234738802555 	 Validation F1 = 0.9046981724625526
INFO:root:C = 1.370909090909091 	 Train F1 = 0.9882326050023719 	 Validation F1 = 0.9048408902613542
INFO:root:C = 1.4213131313131315 	 Train F1 = 0.9887433786554204 	 Validation F1 = 0.9048408902613542
INFO:root:C = 1.471717171717172 	 Train F1 = 0.9887433786554204 	 Validation F1 = 0.9048408902613542
INFO:root:C = 1.5221212121212122 	 Train F1 = 0.9887433786554204 	 Validation F1 = 0.9048408902613542
INFO:root:C = 1.5725252525252527 	 Train F1 = 0.9887433786554204 	 Validation F1 = 0.9048408902613542
INFO:root:C = 1.622929292929293 	 Train F1 = 0.9892686159232214 	 Validation F1 = 0.9048408902613542
INFO:root:C = 1.6733333333333336 	 Train F1 = 0.9897783014455909 	 Validation F1 = 0.9048408902613542
INFO:root:C = 1.723737373737374 	 Train F1 = 0.9897783014455909 	 Validation F1 = 0.9048408902613542
INFO:root:C = 1.7741414141414142 	 Train F1 = 0.9897783014455909 	 Validation F1 = 0.9048408902613542
INFO:root:C = 1.8245454545454547 	 Train F1 = 0.9897783014455909 	 Validation F1 = 0.9048408902613542
INFO:root:C = 1.8749494949494951 	 Train F1 = 0.9897783014455909 	 Validation F1 = 0.9048408902613542
INFO:root:C = 1.9253535353535356 	 Train F1 = 0.9902869726587382 	 Validation F1 = 0.9048408902613542
INFO:root:C = 1.975757575757576 	 Train F1 = 0.9913148363268233 	 Validation F1 = 0.9048408902613542
INFO:root:C = 2.026161616161616 	 Train F1 = 0.9923331794464693 	 Validation F1 = 0.9048408902613542
INFO:root:C = 2.0765656565656565 	 Train F1 = 0.9923331794464693 	 Validation F1 = 0.9048408902613542
INFO:root:C = 2.126969696969697 	 Train F1 = 0.9928418264454519 	 Validation F1 = 0.9048408902613542
INFO:root:C = 2.1773737373737374 	 Train F1 = 0.9933620243142962 	 Validation F1 = 0.9048408902613542
INFO:root:C = 2.227777777777778 	 Train F1 = 0.9933620243142962 	 Validation F1 = 0.9048408902613542
INFO:root:C = 2.2781818181818183 	 Train F1 = 0.9933620243142962 	 Validation F1 = 0.9048408902613542
INFO:root:C = 2.3285858585858588 	 Train F1 = 0.993871194035769 	 Validation F1 = 0.9048408902613542
INFO:root:C = 2.378989898989899 	 Train F1 = 0.993871194035769 	 Validation F1 = 0.9048408902613542
INFO:root:C = 2.4293939393939397 	 Train F1 = 0.993871194035769 	 Validation F1 = 0.9074020167895175
INFO:root:C = 2.4797979797979797 	 Train F1 = 0.9943908357466231 	 Validation F1 = 0.9074020167895175
INFO:root:C = 2.53020202020202 	 Train F1 = 0.9943908357466231 	 Validation F1 = 0.9074020167895175
INFO:root:C = 2.5806060606060606 	 Train F1 = 0.9943908357466231 	 Validation F1 = 0.9074020167895175
INFO:root:C = 2.631010101010101 	 Train F1 = 0.9943908357466231 	 Validation F1 = 0.9074020167895175
INFO:root:C = 2.6814141414141415 	 Train F1 = 0.9943908357466231 	 Validation F1 = 0.9074020167895175
INFO:root:C = 2.731818181818182 	 Train F1 = 0.9943908357466231 	 Validation F1 = 0.9074020167895175
INFO:root:C = 2.7822222222222224 	 Train F1 = 0.9943908357466231 	 Validation F1 = 0.9074020167895175
INFO:root:C = 2.832626262626263 	 Train F1 = 0.9948999970200556 	 Validation F1 = 0.9074020167895175
INFO:root:C = 2.8830303030303033 	 Train F1 = 0.9948999970200556 	 Validation F1 = 0.9074020167895175
INFO:root:C = 2.9334343434343437 	 Train F1 = 0.9948999970200556 	 Validation F1 = 0.9074020167895175
INFO:root:C = 2.9838383838383837 	 Train F1 = 0.9948999970200556 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.034242424242424 	 Train F1 = 0.9948999970200556 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.0846464646464646 	 Train F1 = 0.9948999970200556 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.135050505050505 	 Train F1 = 0.9954091656855233 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.1854545454545455 	 Train F1 = 0.9954091656855233 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.235858585858586 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.2862626262626264 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.336666666666667 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.3870707070707073 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.437474747474748 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.4878787878787882 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.5382828282828283 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.5886868686868687 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.639090909090909 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.6894949494949496 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.73989898989899 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.7903030303030305 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.840707070707071 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.8911111111111114 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.941515151515152 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 3.9919191919191923 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 4.042323232323232 	 Train F1 = 0.99591781846681 	 Validation F1 = 0.9074020167895175
INFO:root:C = 4.092727272727273 	 Train F1 = 0.9964269855418313 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.143131313131313 	 Train F1 = 0.9964269855418313 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.193535353535354 	 Train F1 = 0.9964269855418313 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.243939393939394 	 Train F1 = 0.996935630435243 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.294343434343435 	 Train F1 = 0.996935630435243 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.344747474747475 	 Train F1 = 0.996935630435243 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.3951515151515155 	 Train F1 = 0.996935630435243 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.445555555555556 	 Train F1 = 0.9974442795397966 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.495959595959596 	 Train F1 = 0.9974442795397966 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.546363636363637 	 Train F1 = 0.9974442795397966 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.596767676767677 	 Train F1 = 0.9974442795397966 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.647171717171718 	 Train F1 = 0.9974442795397966 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.697575757575758 	 Train F1 = 0.9974442795397966 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.747979797979799 	 Train F1 = 0.9979529254859938 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.798383838383839 	 Train F1 = 0.9979529254859938 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.8487878787878795 	 Train F1 = 0.9979529254859938 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.899191919191919 	 Train F1 = 0.9979529254859938 	 Validation F1 = 0.9048787405869645
INFO:root:C = 4.9495959595959595 	 Train F1 = 0.9979529254859938 	 Validation F1 = 0.9048787405869645
INFO:root:C = 5.0 	 Train F1 = 0.9979529254859938 	 Validation F1 = 0.9048787405869645
INFO:root:Time to run : 80.14084267616272 s.
DEBUG:matplotlib.axes._base:update_title_pos
DEBUG:matplotlib.font_manager:findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('C:\\Users\\Associate\\Anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000.
DEBUG:matplotlib.axes._base:update_title_pos
DEBUG:matplotlib.axes._base:update_title_pos
DEBUG:matplotlib.axes._base:update_title_pos
DEBUG:matplotlib.axes._base:update_title_pos
DEBUG:matplotlib.axes._base:update_title_pos
DEBUG:matplotlib.axes._base:update_title_pos
