INFO:root:Feature_selection = None
INFO:root:Algorithm = MNB
INFO:root:Runtime = Hyperparameter optimization in Gaussian Naive Bayes with alpha = np.linspace(0.1,3,300) default parameters. All features used.
 Validation set has 400 points.
INFO:root:alpha = 0.1 	 Train F1 = 0.9964274956244235 	 Validation F1 = 0.8994922860068251
INFO:root:alpha = 0.39096989966555185 	 Train F1 = 0.9897726317085036 	 Validation F1 = 0.8945579227102889
INFO:root:alpha = 0.4006688963210703 	 Train F1 = 0.9892649108905498 	 Validation F1 = 0.8945579227102889
INFO:root:alpha = 0.4103678929765886 	 Train F1 = 0.9892649108905498 	 Validation F1 = 0.8945579227102889
INFO:root:alpha = 0.42006688963210703 	 Train F1 = 0.9887417612708546 	 Validation F1 = 0.8945579227102889
INFO:root:alpha = 0.42976588628762546 	 Train F1 = 0.9887417612708546 	 Validation F1 = 0.8945579227102889
INFO:root:alpha = 0.4394648829431438 	 Train F1 = 0.9887417612708546 	 Validation F1 = 0.8971727725411299
INFO:root:alpha = 0.4491638795986622 	 Train F1 = 0.9887417612708546 	 Validation F1 = 0.8971727725411299
INFO:root:alpha = 0.45886287625418065 	 Train F1 = 0.9887417612708546 	 Validation F1 = 0.8971727725411299
INFO:root:alpha = 0.468561872909699 	 Train F1 = 0.9887417612708546 	 Validation F1 = 0.8971727725411299
INFO:root:alpha = 0.4782608695652174 	 Train F1 = 0.9887417612708546 	 Validation F1 = 0.8948575564270049
INFO:root:alpha = 0.4879598662207357 	 Train F1 = 0.9887417612708546 	 Validation F1 = 0.8924167634215368
INFO:root:alpha = 0.49765886287625416 	 Train F1 = 0.9887417612708546 	 Validation F1 = 0.8924167634215368
INFO:root:alpha = 0.5073578595317726 	 Train F1 = 0.9882340117055843 	 Validation F1 = 0.8924167634215368
INFO:root:alpha = 0.5170568561872909 	 Train F1 = 0.9882340117055843 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.5267558528428093 	 Train F1 = 0.9882340117055843 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.5364548494983278 	 Train F1 = 0.9887391390483009 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.5461538461538461 	 Train F1 = 0.9882212556446793 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.5558528428093645 	 Train F1 = 0.9882212556446793 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.565551839464883 	 Train F1 = 0.9876997748844548 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.5752508361204013 	 Train F1 = 0.9876997748844548 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.5849498327759197 	 Train F1 = 0.9876997748844548 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.5946488294314382 	 Train F1 = 0.9876997748844548 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.6043478260869565 	 Train F1 = 0.9876997748844548 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.6140468227424749 	 Train F1 = 0.9871916718771822 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.6237458193979932 	 Train F1 = 0.9871916718771822 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.6334448160535117 	 Train F1 = 0.9866737222840974 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.6431438127090301 	 Train F1 = 0.9856450511048405 	 Validation F1 = 0.8898155221301446
INFO:root:alpha = 0.6528428093645484 	 Train F1 = 0.9856450511048405 	 Validation F1 = 0.8899232177051266
INFO:root:alpha = 0.6625418060200668 	 Train F1 = 0.9856450511048405 	 Validation F1 = 0.8899232177051266
INFO:root:alpha = 0.6722408026755853 	 Train F1 = 0.9856450511048405 	 Validation F1 = 0.8899232177051266
INFO:root:alpha = 0.6819397993311036 	 Train F1 = 0.9851375502254451 	 Validation F1 = 0.8899232177051266
INFO:root:alpha = 0.691638795986622 	 Train F1 = 0.9851375502254451 	 Validation F1 = 0.8899232177051266
INFO:root:alpha = 0.7013377926421405 	 Train F1 = 0.9851375502254451 	 Validation F1 = 0.8899232177051266
INFO:root:alpha = 0.7110367892976588 	 Train F1 = 0.9851375502254451 	 Validation F1 = 0.8898699820928847
INFO:root:alpha = 0.7207357859531772 	 Train F1 = 0.9851375502254451 	 Validation F1 = 0.8898699820928847
INFO:root:alpha = 0.7304347826086957 	 Train F1 = 0.9851375502254451 	 Validation F1 = 0.8898699820928847
INFO:root:alpha = 0.740133779264214 	 Train F1 = 0.9851375502254451 	 Validation F1 = 0.8898699820928847
INFO:root:alpha = 0.7498327759197324 	 Train F1 = 0.9851375502254451 	 Validation F1 = 0.8898699820928847
INFO:root:alpha = 0.7595317725752508 	 Train F1 = 0.9851375502254451 	 Validation F1 = 0.8898699820928847
INFO:root:alpha = 0.7692307692307692 	 Train F1 = 0.9851375502254451 	 Validation F1 = 0.892337030426653
INFO:root:alpha = 0.7789297658862876 	 Train F1 = 0.9851375502254451 	 Validation F1 = 0.8949412864470582
INFO:root:alpha = 0.788628762541806 	 Train F1 = 0.9846200420282529 	 Validation F1 = 0.8975276124299123
INFO:root:alpha = 0.7983277591973243 	 Train F1 = 0.9841124484687649 	 Validation F1 = 0.8975276124299123
INFO:root:alpha = 0.8080267558528428 	 Train F1 = 0.9841124484687649 	 Validation F1 = 0.8975276124299123
INFO:root:alpha = 0.8177257525083612 	 Train F1 = 0.9841124484687649 	 Validation F1 = 0.8975276124299123
INFO:root:alpha = 0.8274247491638795 	 Train F1 = 0.9836054615526393 	 Validation F1 = 0.8975276124299123
INFO:root:alpha = 0.837123745819398 	 Train F1 = 0.983098463704766 	 Validation F1 = 0.8975276124299123
INFO:root:alpha = 0.8468227424749164 	 Train F1 = 0.983098463704766 	 Validation F1 = 0.8975276124299123
INFO:root:alpha = 0.8565217391304347 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8952280663644527
INFO:root:alpha = 0.8662207357859532 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8952280663644527
INFO:root:alpha = 0.8759197324414715 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8952280663644527
INFO:root:alpha = 0.8856187290969899 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8952280663644527
INFO:root:alpha = 0.8953177257525083 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8978446554047391
INFO:root:alpha = 0.9050167224080267 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8978446554047391
INFO:root:alpha = 0.9147157190635451 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8978446554047391
INFO:root:alpha = 0.9244147157190635 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8978446554047391
INFO:root:alpha = 0.9341137123745819 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 0.9438127090301003 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 0.9535117056856187 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 0.963210702341137 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 0.9729096989966555 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 0.9826086956521739 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 0.9923076923076922 	 Train F1 = 0.9825917452986523 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.0020066889632107 	 Train F1 = 0.981577754295595 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.0117056856187292 	 Train F1 = 0.981577754295595 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.0214046822742475 	 Train F1 = 0.981577754295595 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.0311036789297658 	 Train F1 = 0.981577754295595 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.0408026755852844 	 Train F1 = 0.981577754295595 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.0505016722408027 	 Train F1 = 0.9810707314574489 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.060200668896321 	 Train F1 = 0.9810707314574489 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.0698996655518396 	 Train F1 = 0.9810707314574489 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.079598662207358 	 Train F1 = 0.9810707314574489 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.0892976588628762 	 Train F1 = 0.9810707314574489 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.0989966555183948 	 Train F1 = 0.9810707314574489 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.108695652173913 	 Train F1 = 0.9810707314574489 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.1183946488294314 	 Train F1 = 0.9810707314574489 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.12809364548495 	 Train F1 = 0.9810707314574489 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.1377926421404683 	 Train F1 = 0.980548252910179 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.1474916387959866 	 Train F1 = 0.980548252910179 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.1571906354515051 	 Train F1 = 0.980548252910179 	 Validation F1 = 0.8954435036865639
INFO:root:alpha = 1.1668896321070235 	 Train F1 = 0.980548252910179 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.1765886287625418 	 Train F1 = 0.980548252910179 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.1862876254180603 	 Train F1 = 0.980548252910179 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.1959866220735786 	 Train F1 = 0.980548252910179 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.205685618729097 	 Train F1 = 0.980548252910179 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.2153846153846155 	 Train F1 = 0.980548252910179 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.2250836120401338 	 Train F1 = 0.980548252910179 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.2347826086956522 	 Train F1 = 0.980548252910179 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.2444816053511707 	 Train F1 = 0.980548252910179 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.254180602006689 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.2638795986622073 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.2735785953177259 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.2832775919732442 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.2929765886287625 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.302675585284281 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.3123745819397994 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.3220735785953177 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.3317725752508363 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.3414715719063546 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.351170568561873 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.3608695652173914 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.3705685618729098 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.380267558528428 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.3899665551839466 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.399665551839465 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.4093645484949833 	 Train F1 = 0.980031226184436 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.4190635451505018 	 Train F1 = 0.9795121474802084 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.4287625418060201 	 Train F1 = 0.9789944498142755 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.4384615384615385 	 Train F1 = 0.9789944498142755 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.448160535117057 	 Train F1 = 0.9784766602179976 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.4578595317725753 	 Train F1 = 0.9779587753053898 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.4675585284280936 	 Train F1 = 0.9779587753053898 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.4772575250836122 	 Train F1 = 0.9779587753053898 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.4869565217391305 	 Train F1 = 0.9779587753053898 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.4966555183946488 	 Train F1 = 0.9779587753053898 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.5063545150501674 	 Train F1 = 0.9774455103196 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.5160535117056857 	 Train F1 = 0.9774455103196 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.525752508361204 	 Train F1 = 0.9774455103196 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.5354515050167226 	 Train F1 = 0.9774455103196 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.5451505016722409 	 Train F1 = 0.9774455103196 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.5548494983277592 	 Train F1 = 0.9769404358623655 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.5645484949832777 	 Train F1 = 0.9769404358623655 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.574247491638796 	 Train F1 = 0.9769404358623655 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.5839464882943144 	 Train F1 = 0.9769404358623655 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.593645484949833 	 Train F1 = 0.976428837582765 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.6033444816053513 	 Train F1 = 0.9759172279949371 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.6130434782608696 	 Train F1 = 0.9759172279949371 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.6227424749163881 	 Train F1 = 0.9759172279949371 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.6324414715719064 	 Train F1 = 0.9754121405304543 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.6421404682274248 	 Train F1 = 0.9754121405304543 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.651839464882943 	 Train F1 = 0.9754121405304543 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.6615384615384616 	 Train F1 = 0.9754121405304543 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.67123745819398 	 Train F1 = 0.9754121405304543 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.6809364548494983 	 Train F1 = 0.9754121405304543 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.6906354515050168 	 Train F1 = 0.9748941901565966 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.7003344481605351 	 Train F1 = 0.9743915249708237 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.7100334448160535 	 Train F1 = 0.9743915249708237 	 Validation F1 = 0.9004787148210347
INFO:root:alpha = 1.719732441471572 	 Train F1 = 0.9743915249708237 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.7294314381270903 	 Train F1 = 0.9743915249708237 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.7391304347826086 	 Train F1 = 0.9743915249708237 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.7488294314381272 	 Train F1 = 0.9743915249708237 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.7585284280936455 	 Train F1 = 0.9743915249708237 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.7682274247491638 	 Train F1 = 0.9743915249708237 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.7779264214046824 	 Train F1 = 0.9743915249708237 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.7876254180602007 	 Train F1 = 0.9743915249708237 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.797324414715719 	 Train F1 = 0.9738739626236008 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.8070234113712376 	 Train F1 = 0.9738739626236008 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.8167224080267559 	 Train F1 = 0.9738739626236008 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.8264214046822742 	 Train F1 = 0.9738739626236008 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.8361204013377928 	 Train F1 = 0.9738739626236008 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.845819397993311 	 Train F1 = 0.9738739626236008 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.8555183946488294 	 Train F1 = 0.9738739626236008 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.865217391304348 	 Train F1 = 0.9738739626236008 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.8749163879598663 	 Train F1 = 0.9733562942276476 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.8846153846153846 	 Train F1 = 0.9733562942276476 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.8943143812709031 	 Train F1 = 0.9733562942276476 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.9040133779264214 	 Train F1 = 0.9733562942276476 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.9137123745819398 	 Train F1 = 0.9733562942276476 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.9234113712374583 	 Train F1 = 0.9733562942276476 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.9331103678929766 	 Train F1 = 0.9733562942276476 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.942809364548495 	 Train F1 = 0.9733562942276476 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.9525083612040135 	 Train F1 = 0.9728440925141201 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.9622073578595318 	 Train F1 = 0.9728440925141201 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.9719063545150501 	 Train F1 = 0.9728440925141201 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.9816053511705687 	 Train F1 = 0.9728440925141201 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 1.991304347826087 	 Train F1 = 0.9723330696352239 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.0010033444816053 	 Train F1 = 0.9723330696352239 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.0107023411371236 	 Train F1 = 0.9723330696352239 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.020401337792642 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.0301003344481603 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.039799331103679 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.0494983277591974 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.0591973244147157 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.068896321070234 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.0785953177257523 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.0882943143812707 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.0979933110367894 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.1076923076923078 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.117391304347826 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.1270903010033444 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.1367892976588627 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.1464882943143815 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.1561872909699 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.165886287625418 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.1755852842809364 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.1852842809364548 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.194983277591973 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.204682274247492 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.21438127090301 	 Train F1 = 0.9718313758696734 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.2240802675585285 	 Train F1 = 0.9713141025608589 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.233779264214047 	 Train F1 = 0.9713141025608589 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.243478260869565 	 Train F1 = 0.9713141025608589 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.2531772575250835 	 Train F1 = 0.9708128465789962 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.2628762541806022 	 Train F1 = 0.9708128465789962 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.2725752508361206 	 Train F1 = 0.9708128465789962 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.282274247491639 	 Train F1 = 0.9708128465789962 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.291973244147157 	 Train F1 = 0.9708128465789962 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.3016722408026755 	 Train F1 = 0.9708128465789962 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.311371237458194 	 Train F1 = 0.9708128465789962 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.3210702341137126 	 Train F1 = 0.9703018904470977 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.330769230769231 	 Train F1 = 0.9703018904470977 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.3404682274247492 	 Train F1 = 0.9697796152112694 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.3501672240802676 	 Train F1 = 0.9697796152112694 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.359866220735786 	 Train F1 = 0.9697796152112694 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.369565217391304 	 Train F1 = 0.9697796152112694 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.379264214046823 	 Train F1 = 0.9697796152112694 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.3889632107023413 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.3986622073578596 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.408361204013378 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.4180602006688963 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.4277591973244146 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8979603068016112
INFO:root:alpha = 2.4374581939799334 	 Train F1 = 0.9692686427303158 	 Validation F1 = 0.8979603068016112
